Name,Gender,Height,Education Level,Eye Color,Married,Salary Income,Depressed
Ozzie Soldi,Male,155,Intermediate,Blue,Yes,44000000,No
Joanna Windeatt,Female,179,High,Black,Yes,50000000,No
Ansley Dickie,Male,159,Intermediate,Gray,No,51000000,Yes
Korey Mathivat,Male,183,Intermediate,Gray,No,6000000,Yes
Claybourne Gramer,Male,154,Intermediate,Blue,Yes,33000000,No
Gabriel Tewelson,Male,160,High,Brown,Yes,45000000,No
Jehu Crewther,Female,172,Intermediate,Brown,No,18000000,Yes
Hugo Greschke,Male,171,Low,Brown,No,15000000,Yes
Marchall McMillam,Female,169,Intermediate,Black,Yes,139000000,No
Jaymee Rathjen,Female,167,Intermediate,Brown,No,51000000,Yes
Lenka Ollenbuttel,Female,159,Intermediate,Brown,Yes,32000000,Yes
Ingram Nicolson,Female,161,Intermediate,Black,Yes,40000000,No
Meaghan Tregian,Female,171,Intermediate,Brown,Yes,70000000,No
Charis Brandino,Female,172,High,Gray,No,24000000,Yes
Thornie Pollak,Female,168,Intermediate,Brown,No,127000000,Yes
Zelma Gayter,Male,147,Low,Black,Yes,48000000,No
Angie Camamill,Female,146,Low,Black,No,2000000,No
Ryan Ruggieri,Male,160,Low,Brown,Yes,56000000,No
Thaxter Unthank,Male,153,Intermediate,Brown,No,106000000,Yes
Pincas Sculley,Female,182,Low,Black,No,8000000,No
Sherye Baglin,Male,148,High,Blue,No,121000000,Yes
Raquel Kitcherside,Female,165,Low,Brown,Yes,52000000,No
Christoffer Badsworth,Female,171,Intermediate,Black,No,84000000,Yes
Deanne Jeaffreson,Female,165,Intermediate,Black,Yes,130000000,No
Jori Pentecost,Male,147,High,Blue,Yes,23000000,No
Knox Badman,Male,163,High,Brown,Yes,143000000,No
Lowrance Ohm,Female,155,High,Gray,Yes,134000000,No
Jorge Tybalt,Female,158,Low,Blue,Yes,53000000,No
Mellisent Semaine,Female,140,Low,Black,No,76000000,Yes
Alisha Keary,Female,148,High,Gray,No,133000000,No
Sheree Voss,Male,162,High,Black,Yes,115000000,No
Jervis Moreton,Male,140,Intermediate,Gray,No,137000000,Yes
Mirna Elion,Male,182,Intermediate,Gray,No,4000000,Yes
Sonia Bryan,Female,185,Intermediate,Gray,No,149000000,Yes
Ruprecht Hebble,Male,157,Low,Brown,Yes,22000000,Yes
Kerry Burress,Female,184,Intermediate,Brown,No,15000000,Yes
Emelita Jereatt,Male,150,High,Blue,Yes,149000000,No
Kariotta Tremblet,Male,147,Intermediate,Blue,No,8000000,Yes
Shoshanna Iwanowski,Female,153,High,Brown,No,27000000,Yes
Alene Wauchope,Male,156,Low,Brown,No,72000000,No
Isabella Judkin,Female,143,High,Brown,Yes,69000000,Yes
Shelly Galland,Male,166,Low,Black,Yes,69000000,No
Hilliary Lidell,Male,173,Intermediate,Gray,Yes,49000000,No
Cory Boolsen,Male,162,Low,Blue,Yes,10000000,No
Tammie Barkus,Male,147,High,Blue,Yes,65000000,No
Diahann Boyan,Male,178,Low,Blue,Yes,54000000,Yes
Opal Marchenko,Female,159,High,Blue,Yes,99000000,No
Tibold Learmount,Female,176,Low,Gray,No,134000000,Yes
Creighton Loft,Male,162,Low,Brown,Yes,43000000,Yes
Bonnie Innocent,Male,151,Intermediate,Brown,No,28000000,Yes
Alec Shorten,Male,150,High,Gray,Yes,137000000,No
Dalt Askham,Male,160,High,Gray,No,12000000,Yes
Paulette Gayne,Female,160,High,Blue,Yes,43000000,No
Conway Darragh,Male,168,Intermediate,Brown,No,14000000,Yes
Jenica Jervis,Female,163,Intermediate,Gray,No,29000000,Yes
Cristin Fotheringham,Female,156,High,Blue,Yes,77000000,No
Aurthur Peete,Male,168,Intermediate,Blue,No,136000000,Yes
Yetty Fern,Female,158,Low,Gray,No,137000000,No
Blisse Krolak,Female,140,Low,Blue,Yes,128000000,No
Darbee McOnie,Male,164,Intermediate,Brown,No,69000000,Yes
Jaimie Satchel,Male,173,High,Blue,Yes,145000000,No
Mead Emberton,Male,176,Intermediate,Black,No,45000000,Yes
Teodorico Theobalds,Male,170,High,Brown,No,16000000,Yes
Ashli Butterfield,Female,154,High,Brown,Yes,93000000,No
Vidovic Dunkersley,Female,151,Low,Black,Yes,126000000,No
Dionysus Tooke,Female,149,Intermediate,Black,Yes,4000000,No
North Moylan,Female,148,Low,Brown,Yes,138000000,No
Andrea Cote,Male,178,Intermediate,Brown,No,79000000,Yes
Latrena Drinkhall,Male,168,Low,Brown,Yes,126000000,No
Sig Ligoe,Male,152,Low,Gray,Yes,31000000,Yes
Sharron Cammoile,Female,156,Intermediate,Black,Yes,39000000,No
Jinny Cheesworth,Female,151,High,Black,Yes,91000000,No
Garrard Rabbatts,Female,143,Low,Brown,No,52000000,Yes
Jamey Sliman,Female,140,High,Blue,Yes,112000000,No
Seana Brelsford,Female,160,High,Gray,No,43000000,Yes
Natalee Peirpoint,Female,162,Intermediate,Gray,No,27000000,Yes
Christopher Steggles,Male,160,Intermediate,Brown,Yes,54000000,No
Dugald Radborne,Female,141,Intermediate,Brown,No,1000000,Yes
Carroll Gerrans,Male,153,High,Brown,No,49000000,Yes
Coretta Richen,Male,183,High,Brown,No,69000000,Yes
Giorgio Kenafaque,Male,170,Intermediate,Brown,No,52000000,Yes
Lavina Litterick,Male,153,Intermediate,Gray,No,52000000,Yes
Mella Leftbridge,Female,178,High,Blue,Yes,146000000,No
Leone Holson,Male,147,Low,Gray,Yes,47000000,No
Raffaello Lenney,Male,145,High,Brown,No,59000000,Yes
Nichol Mc Meekan,Female,158,High,Gray,Yes,25000000,Yes
Marve Maestrini,Male,183,Intermediate,Brown,Yes,59000000,Yes
Leopold Ide,Female,142,Intermediate,Black,Yes,35000000,No
Francisco Haxell,Female,148,Intermediate,Blue,Yes,136000000,No
Sigrid Tidmarsh,Male,152,High,Black,Yes,57000000,No
Lexy Fleckno,Female,143,High,Blue,Yes,69000000,No
Georgiana Hullot,Female,165,Intermediate,Black,No,94000000,No
Stu Bartocci,Female,140,Intermediate,Brown,No,77000000,Yes
Laureen Scoble,Female,165,Intermediate,Brown,No,31000000,Yes
Katerina Petrazzi,Female,153,Low,Gray,No,55000000,Yes
Cherry Garfoot,Female,164,High,Black,Yes,81000000,No
Sallee Farrow,Female,143,Low,Blue,Yes,41000000,No
Rafaellle Harber,Female,177,Low,Black,Yes,117000000,No
Aldon Blaydes,Male,155,High,Black,No,1000000,No
Henriette Minero,Male,141,High,Black,Yes,121000000,No
Lindsay Esselin,Male,146,Low,Brown,No,100000000,Yes
Fawn Swanwick,Female,158,Intermediate,Blue,Yes,32000000,No
Andrej Cumberpatch,Female,152,Intermediate,Black,Yes,141000000,No
Cob Enderle,Female,162,Intermediate,Blue,Yes,64000000,No
Rockie Huntingdon,Male,160,High,Brown,No,27000000,Yes
Tabb McKinn,Male,153,High,Blue,Yes,97000000,No
Johnette Sotham,Female,160,High,Blue,Yes,57000000,No
Pepita Drew,Male,164,Low,Brown,No,48000000,Yes
Ernest Cruz,Male,174,Low,Black,Yes,134000000,No
Dalila Leaton,Male,175,Intermediate,Brown,No,42000000,Yes
Renate Yuill,Male,151,High,Blue,No,150000000,No
Rickie Thripp,Female,157,Low,Black,Yes,130000000,No
Caesar Francino,Male,140,High,Gray,Yes,95000000,Yes
Neill Heasley,Male,155,Intermediate,Brown,No,40000000,Yes
Jemmy Lindores,Male,161,Low,Brown,No,7000000,Yes
Ginny Ambrozik,Male,157,Intermediate,Black,Yes,111000000,No
Yoko Oates,Male,171,Intermediate,Gray,No,45000000,Yes
Brian Picker,Male,165,Intermediate,Black,Yes,38000000,Yes
Dee O'Scollain,Female,165,Intermediate,Gray,Yes,49000000,Yes
Flor Darrigoe,Male,153,Intermediate,Gray,No,36000000,Yes
Annecorinne Crippin,Male,173,Intermediate,Gray,No,46000000,Yes
Rolfe Ettels,Male,144,Intermediate,Gray,Yes,94000000,No
Miguel Beggini,Female,152,Intermediate,Gray,No,46000000,Yes
Granger Firmager,Female,163,Intermediate,Black,Yes,49000000,No
Heloise Threadgold,Male,165,Intermediate,Blue,Yes,82000000,No
Bree Easterbrook,Male,153,Intermediate,Gray,No,49000000,Yes
Justis Jeves,Female,164,Intermediate,Gray,Yes,94000000,No
Sharai Rossander,Male,152,Low,Brown,No,133000000,Yes
Verile Bucky,Male,164,Low,Brown,No,5000000,Yes
Brigitte Edelston,Male,162,High,Black,Yes,146000000,No
Klemens Innwood,Male,160,Low,Gray,Yes,66000000,No
Cori Merwood,Female,165,Low,Blue,Yes,92000000,No
Mahmoud Marieton,Male,157,Low,Blue,Yes,44000000,No
Rodrick Axtens,Male,144,Intermediate,Brown,No,47000000,Yes
Dennie Girardy,Female,153,High,Black,Yes,148000000,No
Patricio Robecon,Female,171,Intermediate,Blue,No,24000000,Yes
Petrina Patis,Male,152,Intermediate,Black,Yes,100000000,No
Ameline Cavanaugh,Female,155,High,Black,Yes,69000000,No
Valida Kirkham,Male,156,Intermediate,Black,No,54000000,Yes
Debbie Goney,Male,164,Low,Gray,No,42000000,Yes
Virgina Fleeman,Female,167,High,Brown,No,93000000,No
Nikaniki Bounde,Female,164,Intermediate,Blue,Yes,81000000,No
Viki Neal,Female,179,Intermediate,Brown,No,55000000,Yes
Griffin Gomersall,Female,176,Low,Brown,No,141000000,Yes
Chris McGeechan,Female,152,Low,Brown,No,32000000,Yes
Brnaba Trudgion,Male,152,Intermediate,Black,Yes,49000000,No
Brianna Revie,Female,170,High,Brown,No,59000000,Yes
Kerry Mathonnet,Male,181,Intermediate,Brown,No,3000000,Yes
Verney Knowling,Male,165,Intermediate,Blue,Yes,37000000,Yes
Adria Brickhill,Male,153,High,Black,Yes,9000000,No
Tiffany Novic,Female,163,High,Black,Yes,150000000,No
Maxy Ingarfield,Female,142,Low,Brown,No,22000000,Yes
Kathrine Ortelt,Female,177,High,Brown,Yes,15000000,Yes
Dennet Capelin,Female,142,High,Gray,Yes,130000000,No
Gerardo Croxton,Female,163,Low,Black,Yes,121000000,No
Roderick Kember,Male,164,High,Blue,Yes,20000000,No
Raquela Strete,Male,154,High,Black,Yes,123000000,No
Amber Borchardt,Female,155,Low,Brown,No,86000000,Yes
Gwynne Coventry,Female,142,High,Brown,Yes,145000000,No
Grazia Ripping,Female,152,High,Blue,Yes,94000000,No
Freddy Andreoletti,Female,159,Intermediate,Gray,No,32000000,Yes
Celina Isley,Male,145,Low,Brown,No,33000000,Yes
Ethelbert Hablot,Female,157,High,Brown,No,103000000,No
Brooke McMakin,Female,145,High,Black,No,68000000,No
Peria Maffini,Male,163,Low,Gray,No,27000000,Yes
Reynolds Rielly,Female,168,High,Black,Yes,41000000,No
Hobey Broxholme,Female,157,Intermediate,Gray,Yes,99000000,No
Zorana Negal,Male,171,Intermediate,Black,No,37000000,Yes
Kaylyn MacScherie,Female,164,High,Black,Yes,9000000,No
Glenn Leggat,Female,162,High,Brown,No,76000000,Yes
Noland Brehault,Female,163,Low,Black,No,85000000,No
Gardie Hought,Female,148,Intermediate,Brown,Yes,28000000,No
Corny Tarbet,Female,179,High,Black,Yes,107000000,No
Ker Wistance,Female,162,Intermediate,Gray,Yes,78000000,No
Avrit Kestle,Male,164,Intermediate,Black,Yes,135000000,No
Salomo Pilpovic,Male,162,Intermediate,Black,Yes,23000000,No
Audry Malster,Male,154,Low,Blue,Yes,60000000,Yes
Maggie Kerrigan,Female,147,Low,Gray,No,54000000,Yes
Yule Guthrie,Female,164,High,Black,No,56000000,No
Karilynn Fetherston,Male,157,High,Gray,Yes,123000000,Yes
Elke Goudman,Female,152,High,Gray,No,51000000,Yes
Grenville Macknish,Female,170,Intermediate,Blue,Yes,48000000,No
Patrizius Kalinsky,Female,163,Low,Black,Yes,79000000,No
Kermie Emlen,Male,153,Low,Brown,No,66000000,Yes
Blondy O'Neary,Female,145,High,Blue,Yes,39000000,No
Leticia Suckling,Female,179,Low,Brown,No,26000000,Yes
Alford MacAree,Male,143,Low,Blue,No,51000000,Yes
Freda McKoy,Female,164,Low,Black,No,107000000,No
Alida Pendlebury,Male,162,Intermediate,Gray,No,34000000,Yes
Teddie Takis,Male,158,Low,Brown,Yes,42000000,No
Norean Edling,Male,176,Low,Black,No,19000000,Yes
Gordan Danelutti,Female,160,High,Blue,Yes,77000000,No
Lorianne McMonnies,Male,173,Low,Gray,Yes,87000000,No
Luce Lannen,Female,167,Low,Brown,No,41000000,Yes
Valentin Adamsen,Female,143,High,Gray,Yes,134000000,No
Emmett Egentan,Male,152,Intermediate,Gray,No,25000000,Yes
Corny Dowry,Male,180,Intermediate,Gray,No,93000000,Yes
Shaylynn Fideler,Male,165,High,Brown,No,31000000,Yes
Aridatha Allner,Female,142,Low,Blue,No,13000000,Yes
Nadean Fluit,Female,158,Low,Gray,No,7000000,Yes
Amelina Marmon,Female,185,High,Black,Yes,13000000,Yes
Annnora Pyner,Female,177,Intermediate,Black,No,42000000,Yes
Emeline Seekings,Male,175,High,Black,Yes,84000000,No
Selig Silson,Female,153,Intermediate,Black,Yes,38000000,No
Christine Blumire,Male,167,Intermediate,Blue,No,71000000,Yes
Ellis Greenrodd,Male,149,Intermediate,Black,No,94000000,No
Forbes Sellens,Female,164,Low,Gray,No,13000000,Yes
Uriah Norledge,Male,158,Intermediate,Gray,Yes,52000000,No
Bernice Pevreal,Male,149,Low,Black,No,34000000,No
Eve Glenfield,Male,167,Intermediate,Blue,No,148000000,No
Tamera Currer,Male,150,Low,Gray,No,96000000,Yes
Stormy Bern,Male,165,High,Black,Yes,106000000,No
Bliss Boughton,Female,148,Low,Gray,Yes,53000000,Yes
Lauraine Lackinton,Male,172,Intermediate,Blue,No,40000000,Yes
Gardener Pascow,Male,168,High,Brown,No,1000000,Yes
Jamill Knevit,Female,162,Low,Black,No,46000000,Yes
Lavinie O'Lehane,Male,160,Low,Gray,Yes,39000000,No
Reg Kinsett,Female,147,High,Black,Yes,33000000,No
Hart Colloby,Female,146,High,Gray,Yes,93000000,No
Gretna Whitewood,Female,165,Intermediate,Blue,Yes,123000000,No
Patton McGooch,Female,163,High,Brown,No,59000000,Yes
Danny McNaught,Male,150,High,Black,Yes,149000000,No
Marjory Allenby,Male,176,Low,Black,Yes,36000000,No
Logan Martinek,Male,148,Low,Black,No,52000000,Yes
Esteban Cadd,Male,181,High,Brown,No,112000000,Yes
Rudolfo Bernette,Female,149,Intermediate,Gray,No,37000000,Yes
Adaline Pitway,Female,159,High,Gray,No,44000000,Yes
Octavius Rusted,Female,154,Low,Black,No,43000000,Yes
Klara Cranch,Female,150,Intermediate,Black,Yes,36000000,No
Rodd Hawthorn,Male,142,Low,Blue,No,14000000,No
Verne Pipet,Male,174,Intermediate,Brown,No,53000000,Yes
Dara Klimashevich,Female,140,Low,Gray,No,51000000,Yes
Bernelle Cale,Male,154,Intermediate,Black,Yes,130000000,No
Sara Eustes,Female,142,Intermediate,Black,Yes,25000000,No
Susy Hannan,Male,184,Low,Brown,No,48000000,Yes
Collin Seiler,Male,181,High,Gray,No,38000000,Yes
Thomasa Garrad,Female,150,Intermediate,Gray,No,113000000,Yes
Chrotoem Stickins,Female,164,Intermediate,Blue,Yes,19000000,No
Berton Martini,Male,157,Intermediate,Blue,No,60000000,Yes
Perice Houdmont,Female,157,Intermediate,Black,No,14000000,Yes
Tobit Domsalla,Female,158,Intermediate,Gray,Yes,38000000,Yes
Carolina Label,Female,181,Low,Brown,No,27000000,Yes
Dulci Folley,Female,179,Intermediate,Gray,No,31000000,Yes
Rollo Guerrazzi,Female,174,Low,Brown,Yes,140000000,Yes
Ritchie Issacov,Male,154,Intermediate,Gray,Yes,45000000,No
Magdalene Slot,Male,153,Intermediate,Blue,No,62000000,No
Vidovic Hayford,Male,140,Intermediate,Blue,No,73000000,No
Fred Bannister,Female,168,Low,Black,Yes,66000000,No
Dorey Mammatt,Female,164,Low,Gray,No,59000000,Yes
Minor Gryglewski,Male,164,Low,Gray,No,56000000,Yes
Dido Glayzer,Male,140,Low,Gray,Yes,51000000,No
Brock Pratchett,Female,159,High,Brown,Yes,110000000,Yes
Joelynn Avrahamian,Female,176,Intermediate,Brown,Yes,1000000,No
Johanna Jordan,Male,163,High,Blue,Yes,17000000,No
Christian McRamsey,Female,160,Low,Blue,Yes,107000000,No
Berkley Mathelon,Female,162,High,Blue,Yes,108000000,No
Benny Orange,Male,169,Low,Black,Yes,79000000,No
Catherina Kropp,Female,160,Low,Blue,Yes,109000000,No
Josefa Downe,Female,175,Low,Brown,No,60000000,Yes
Charyl Heintsch,Female,171,Low,Brown,No,26000000,Yes
Elyssa Pote,Female,164,Intermediate,Brown,Yes,120000000,No
Lotty Gennings,Female,157,Intermediate,Brown,No,19000000,Yes
Ediva Burgyn,Female,168,Low,Blue,Yes,81000000,No
Merridie Ebanks,Female,165,Intermediate,Gray,No,60000000,Yes
Zack Toyer,Female,154,High,Gray,No,122000000,Yes
Roldan Camamill,Male,152,Intermediate,Brown,No,55000000,Yes
Mareah Androli,Female,162,Low,Gray,No,15000000,Yes
Karin Baile,Male,147,Intermediate,Blue,Yes,1000000,No
Dene Kovacs,Female,152,High,Blue,Yes,59000000,No
Zacharias Southerill,Female,182,Low,Brown,No,12000000,Yes
Ivie Force,Male,158,Intermediate,Black,Yes,123000000,No
Fanni Liddall,Female,161,Intermediate,Black,No,34000000,No
Armand Terbeek,Female,153,Low,Blue,Yes,57000000,No
Fionnula Banbrigge,Female,145,High,Blue,No,7000000,No
Theresina Knowlman,Female,161,High,Blue,Yes,34000000,No
Jenni Buckthorp,Male,140,Intermediate,Brown,No,35000000,Yes
Hilary O'Criane,Female,162,Intermediate,Black,Yes,102000000,No
Fawne Ackhurst,Female,155,High,Gray,No,47000000,Yes
Marlow See,Female,153,Intermediate,Brown,Yes,139000000,Yes
Beilul Rastrick,Female,149,Intermediate,Blue,Yes,60000000,Yes
Trescha Coggings,Female,154,Intermediate,Brown,No,55000000,Yes
Rosamund Thurner,Female,146,Low,Black,Yes,83000000,No
Ginni Shoubridge,Female,151,High,Black,No,54000000,No
Guinevere Antonio,Male,162,Low,Gray,No,109000000,Yes
Gnni Debney,Male,159,High,Black,Yes,36000000,No
Ivy Karpov,Female,154,Low,Brown,No,44000000,Yes
Darlleen Sheivels,Male,175,High,Gray,No,32000000,Yes
Anissa Gossington,Male,164,High,Brown,No,30000000,Yes
Dorrie Hemeret,Female,144,High,Brown,Yes,24000000,No
Garwood Poundesford,Male,158,Low,Brown,Yes,15000000,No
Seymour Issacson,Female,158,Low,Gray,No,56000000,Yes
Leola Stockton,Female,182,High,Gray,No,55000000,Yes
Karrah Durham,Female,150,Intermediate,Blue,Yes,49000000,No
Adolf Meier,Female,156,Intermediate,Gray,No,9000000,Yes
Jenna Freathy,Female,157,High,Black,Yes,137000000,No
Elga Beneze,Male,159,Intermediate,Brown,No,82000000,Yes
Job Triner,Male,157,High,Blue,Yes,5000000,No
Martin Fishbie,Male,141,Intermediate,Gray,No,74000000,Yes
Torin Paxeford,Male,142,High,Blue,Yes,25000000,No
Bourke Ambroziak,Female,140,Intermediate,Blue,No,92000000,No
Franciska Aaron,Female,173,Low,Brown,No,41000000,Yes
Janene Remirez,Female,155,Intermediate,Black,No,47000000,Yes
Lacie Antrobus,Male,161,Intermediate,Blue,No,41000000,Yes
Estelle Birdwhistle,Female,163,High,Black,Yes,62000000,No
Ruby Brightey,Female,159,High,Blue,Yes,82000000,No
Izzy O'Hagan,Male,185,Low,Gray,Yes,45000000,Yes
Gillie Dafforne,Male,176,Low,Brown,No,59000000,Yes
Marchelle Peidro,Male,141,High,Gray,Yes,99000000,No
Dagny Hundall,Male,173,High,Blue,No,57000000,Yes
Angelica Emsden,Female,161,High,Black,Yes,89000000,No
Kyle Gaitone,Male,157,Intermediate,Gray,No,67000000,Yes
Conny Garment,Male,178,Intermediate,Brown,Yes,79000000,No
Sarette Rivallant,Male,162,Intermediate,Gray,No,23000000,Yes
Raymond Bevir,Male,153,Intermediate,Brown,No,19000000,Yes
Ban Shapera,Male,182,Low,Brown,No,90000000,Yes
Milli Ianilli,Female,162,High,Gray,Yes,51000000,No
Maudie Stripp,Female,145,Intermediate,Blue,Yes,100000000,No
Faber Auchterlony,Female,150,High,Brown,Yes,123000000,No
Babara Alen,Female,165,Intermediate,Gray,No,45000000,Yes
Filia Craze,Male,144,Intermediate,Blue,Yes,21000000,No
Gretal Checchi,Female,155,Intermediate,Blue,Yes,97000000,No
Yorgos Gert,Male,156,High,Gray,No,80000000,No
Griffie Koeppke,Female,144,Intermediate,Blue,Yes,118000000,No
Gaby Heckle,Female,165,Intermediate,Black,Yes,50000000,No
Marianne Howis,Male,148,Low,Gray,Yes,54000000,No
Brigitte Iacobetto,Male,148,Low,Brown,No,15000000,Yes
Marlie Widdocks,Female,182,High,Brown,No,43000000,Yes
Lynn Cubbon,Male,149,Intermediate,Gray,No,48000000,Yes
Christabella Wernher,Male,163,Intermediate,Brown,No,59000000,Yes
Whit Walasik,Male,159,High,Brown,Yes,102000000,Yes
Nadean Machan,Female,141,Intermediate,Black,No,40000000,Yes
Jordain Flieger,Female,169,Intermediate,Blue,Yes,116000000,No
Sarge Gurys,Female,149,High,Black,Yes,84000000,No
Virginie Gummary,Male,143,Low,Brown,No,97000000,No
Mary Braidman,Female,178,High,Brown,No,54000000,Yes
Hale Haddeston,Female,165,Low,Gray,No,41000000,Yes
Loralee Wither,Female,154,Low,Brown,No,85000000,Yes
Trent Eacott,Male,176,Low,Brown,No,60000000,Yes
Orsola Kettlesing,Male,165,Intermediate,Gray,Yes,90000000,No
Gerda Dilnot,Male,157,Low,Brown,No,9000000,Yes
Sidonia Flack,Male,177,Low,Gray,Yes,25000000,Yes
Dalenna Muzzi,Female,161,Intermediate,Blue,Yes,3000000,No
Candi Werndley,Male,155,Low,Blue,Yes,46000000,No
Cherye Sillett,Female,160,Intermediate,Brown,No,10000000,Yes
Letisha Haldin,Female,162,High,Brown,Yes,39000000,No
Shandeigh Ort,Male,150,Low,Gray,No,44000000,Yes
Lissie Ponting,Male,140,Intermediate,Brown,Yes,31000000,Yes
Judi Izac,Male,165,Low,Blue,Yes,120000000,No
Ted Brenard,Male,167,High,Blue,Yes,21000000,No
Durant De Bruijn,Male,160,High,Blue,Yes,57000000,No
Monte Haggerstone,Male,183,Low,Brown,Yes,56000000,No
Kaia Mueller,Female,160,Low,Blue,Yes,121000000,No
Zilvia Yellowley,Female,142,Low,Black,Yes,150000000,No
Clarinda Scottini,Female,147,Intermediate,Blue,Yes,143000000,No
Jania Mighele,Male,159,Low,Blue,Yes,89000000,No
Grenville Ritch,Male,156,High,Blue,No,120000000,No
Leeanne Notton,Female,152,Intermediate,Black,Yes,148000000,No
Johnna Jarmyn,Male,162,Intermediate,Black,Yes,41000000,No
Joaquin Kilius,Female,154,Intermediate,Black,Yes,148000000,No
Gay Thorns,Female,163,Intermediate,Blue,No,111000000,No
Fowler Umpleby,Female,164,Intermediate,Blue,No,21000000,Yes
Nerty Lamy,Male,157,Intermediate,Blue,Yes,79000000,No
Alvera Easterby,Female,160,Low,Brown,No,26000000,Yes
Laurie Binnall,Female,153,Intermediate,Blue,Yes,48000000,No
Euell Phizackarley,Female,164,Low,Brown,No,41000000,Yes
Leah Faiers,Male,164,High,Black,Yes,2000000,No
Franny Kirrage,Female,165,Intermediate,Blue,No,27000000,No
Beverlie Stedman,Female,143,High,Brown,Yes,147000000,No
Tom Melley,Female,161,Intermediate,Black,Yes,61000000,No
Bertha Arniz,Male,148,Low,Blue,Yes,85000000,No
Antonius Gorst,Male,162,Intermediate,Blue,Yes,86000000,No
Valaree Pratten,Female,153,Low,Brown,No,89000000,Yes
Willyt Salery,Male,164,High,Black,Yes,95000000,No
Levin Silver,Male,153,Low,Brown,Yes,120000000,No
Kimbra McKinney,Female,155,Intermediate,Black,No,82000000,No
Towny Oakey,Male,156,High,Blue,Yes,107000000,No
Brocky Butchard,Male,175,High,Gray,Yes,46000000,Yes
Willem Trotton,Female,157,High,Blue,No,17000000,Yes
Scarlet Hawkin,Male,158,High,Brown,No,40000000,Yes
Felic Petrushka,Female,157,Intermediate,Blue,Yes,104000000,No
Cassy Baxster,Male,159,Intermediate,Brown,Yes,41000000,Yes
Loy Gantz,Male,155,High,Blue,Yes,122000000,No
Odette Grolle,Male,147,Intermediate,Blue,No,2000000,No
Ediva Whisby,Female,143,Intermediate,Black,Yes,63000000,No
Taite Mc Giffin,Female,150,High,Gray,No,22000000,Yes
Naomi Woodyeare,Female,150,Intermediate,Gray,Yes,102000000,No
Donovan Bankes,Male,157,High,Blue,Yes,140000000,No
Cyndy Dammarell,Male,146,Low,Blue,Yes,73000000,No
Manuel Breddy,Male,158,Intermediate,Gray,No,26000000,Yes
Armando Housecraft,Female,167,Intermediate,Blue,No,47000000,Yes
Rafaelita Harfleet,Male,162,Intermediate,Gray,No,4000000,Yes
Correy Soitoux,Male,160,Intermediate,Gray,No,18000000,Yes
Randell Oatley,Male,179,Low,Brown,No,28000000,Yes
Hamnet Cunliffe,Male,150,High,Brown,Yes,2000000,No
Kermie Fittes,Female,164,High,Brown,Yes,131000000,No
Verne Ellcock,Female,169,Low,Gray,Yes,100000000,No
Julian Linney,Male,163,Intermediate,Gray,No,37000000,Yes
Nicolis Wolfit,Male,176,Intermediate,Gray,No,52000000,Yes
Tawnya Rope,Female,165,Intermediate,Brown,Yes,49000000,No
Jeremy Twatt,Female,152,Intermediate,Brown,No,34000000,Yes
Krispin Lesmonde,Female,181,Intermediate,Blue,No,57000000,No
Ward Willoughby,Female,183,Intermediate,Brown,No,22000000,Yes
Wake Daftor,Male,161,Intermediate,Brown,Yes,23000000,Yes
Cash Cicculi,Male,164,Low,Blue,Yes,126000000,No
Nathanael Cannam,Male,145,High,Black,Yes,70000000,No
Rheta Flieger,Female,174,Intermediate,Gray,No,140000000,Yes
Cathleen Crusham,Female,160,Low,Blue,No,16000000,Yes
Ronny Buckles,Female,182,Intermediate,Black,Yes,52000000,No
Yurik Duerden,Male,166,Low,Gray,Yes,86000000,Yes
Stanly Sex,Female,153,High,Gray,No,13000000,Yes
Filbert Malthouse,Female,155,Intermediate,Blue,No,47000000,No
Ambros Maase,Female,176,High,Blue,No,101000000,Yes
Didi Beane,Male,160,High,Blue,Yes,4000000,No
Kristine Lathy,Female,158,High,Blue,Yes,40000000,No
Rachael Jansky,Male,176,High,Blue,Yes,129000000,No
Dugald Sellens,Male,157,High,Gray,No,150000000,No
Dacey Bickerstaffe,Male,172,High,Blue,Yes,97000000,No
Junie Mullins,Male,176,Intermediate,Black,Yes,119000000,No
Logan Woofinden,Female,162,Intermediate,Gray,No,137000000,Yes
Granthem Cronkshaw,Male,149,Intermediate,Black,Yes,88000000,No
Sari Kendrew,Female,165,Low,Blue,Yes,86000000,No
Jourdan Plowell,Female,142,High,Black,No,137000000,No
Madelin Glaves,Female,162,Intermediate,Brown,No,121000000,Yes
Josefina Yesipov,Male,145,Low,Brown,Yes,47000000,No
Clio Van Zon,Female,167,Intermediate,Gray,No,26000000,Yes
Annecorinne Garcia,Female,140,Low,Black,No,99000000,No
Nissy Braisher,Male,151,Low,Gray,Yes,24000000,Yes
Arin MacWhan,Female,165,High,Gray,Yes,32000000,No
Seline Stoile,Male,164,Intermediate,Gray,No,51000000,Yes
Felicle Murney,Female,165,Low,Gray,No,112000000,Yes
Karrie Kennedy,Female,162,Low,Gray,No,7000000,Yes
Archie Yateman,Female,150,Intermediate,Black,Yes,82000000,No
Flem Gwyther,Female,183,Intermediate,Blue,No,4000000,Yes
Lorelei Dangerfield,Female,171,Low,Black,Yes,104000000,No
Cosetta Saiz,Female,163,Low,Blue,No,20000000,Yes
Cindy Klemz,Female,175,High,Blue,Yes,129000000,No
Sophie Fosse,Male,171,Intermediate,Brown,No,16000000,Yes
